Time,"CH 1, GSR1","CH 2, GSR2","CH 3, GSR3","CH 4, GSR4","CH 5, GSR5"
237,-0.002746582,-0.00213623,-0.001525879,-0.000915527,-0.000915527
238,-0.002441406,-0.001220703,-0.000915527,-0.000915527,-0.000915527
239,-0.001831055,-0.001220703,-0.000915527,-0.001525879,-0.000915527
240,-0.001831055,-0.000610352,-0.000305176,-0.000915527,-0.000610352
241,-0.001525879,-0.000915527,-0.001220703,-0.001525879,-0.000610352
242,-0.00213623,-0.001525879,-0.000915527,-0.000915527,-0.000915527
243,-0.00213623,-0.001220703,-0.000305176,-0.001220703,-0.000610352
244,-0.003356934,-0.001525879,-0.000610352,-0.001220703,-0.001525879
245,-0.003967285,-0.00213623,-0.000610352,-0.002746582,-0.000610352
246,-0.000610352,-0.000915527,-0.000915527,-0.001220703,-0.000610352
247,0.001525879,0.000305176,-0.000610352,-0.000305176,-0.000610352
248,0.001220703,0.000915527,0.000305176,0.000305176,0.001831055
249,-0.000915527,-0.001220703,0,-0.000915527,-0.000305176
250,-0.000610352,-0.001220703,-0.000305176,-0.000610352,-0.000305176
251,-0.001220703,-0.000610352,0,-0.001525879,0
252,-0.000610352,-0.000610352,0.000305176,-0.000915527,-0.000305176
253,-0.000610352,-0.000610352,-0.000305176,-0.000915527,-0.000305176
254,-0.001525879,-0.000305176,-0.000610352,-0.000915527,0
255,-0.001220703,-0.000610352,-0.000305176,-0.000610352,0.000305176
256,0,0,-0.000305176,-0.000610352,0
257,0.001220703,0.000610352,0.001220703,-0.000305176,0.000915527
258,0.001525879,0.000915527,0.000610352,0,0.000915527
259,-0.001525879,-0.001220703,0.000915527,0.000305176,0.000915527
260,-0.00213623,-0.000915527,-0.000305176,-0.001220703,-0.000915527
261,-0.00213623,-0.001220703,-0.000610352,-0.001220703,-0.000915527
262,-0.00213623,-0.001220703,-0.001220703,-0.000915527,-0.000915527
263,-0.00213623,-0.001525879,-0.000915527,-0.001220703,-0.000305176
264,-0.002746582,-0.001220703,-0.000915527,-0.001220703,-0.001220703
265,-0.000610352,-0.000305176,-0.000610352,-0.000610352,0
266,-0.000915527,-0.000915527,-0.000610352,-0.001525879,-0.000305176
267,-0.001525879,-0.000915527,-0.000305176,-0.001220703,0
268,-0.000610352,-0.001525879,-0.000610352,-0.001525879,-0.000610352
269,-0.001220703,-0.00213623,-0.000915527,-0.000915527,-0.000610352
270,-0.00213623,-0.001831055,-0.000610352,-0.001220703,-0.000610352
271,-0.001831055,-0.001831055,-0.000915527,-0.001525879,-0.001831055
272,-0.00213623,-0.00213623,-0.001525879,-0.001220703,-0.000915527
273,-0.003662109,-0.00213623,-0.000915527,-0.001525879,-0.001831055
274,-0.003356934,-0.00213623,-0.001220703,-0.001831055,-0.001525879
275,-0.003662109,-0.002746582,-0.001525879,-0.00213623,-0.001220703
276,-0.00213623,-0.001525879,-0.000305176,-0.001220703,-0.000610352
277,-0.001831055,-0.001525879,0,-0.001220703,-0.000915527
278,-0.002441406,-0.001220703,-0.00213623,-0.001220703,-0.001525879
279,-0.000610352,-0.001220703,-0.001220703,-0.001525879,-0.001831055
280,-0.000915527,-0.001220703,-0.000305176,-0.000915527,-0.000305176
281,-0.000915527,-0.000915527,-0.000305176,-0.001831055,0
282,-0.000915527,0,0,-0.000610352,-0.000610352
283,-0.000610352,-0.000915527,-0.000610352,-0.000915527,-0.001220703
284,-0.000915527,-0.001220703,-0.000305176,-0.000610352,0
285,-0.000915527,-0.000610352,-0.001220703,-0.000915527,-0.000305176
286,-0.000915527,-0.001220703,-0.000305176,0,0
287,-0.000610352,-0.000610352,0,-0.001220703,-0.000305176
288,-0.001220703,0,-0.000305176,-0.000915527,-0.000610352
289,-0.000915527,-0.000915527,-0.000610352,-0.001220703,-0.000610352
290,-0.000610352,-0.001220703,0,-0.000915527,-0.000305176
291,-0.000305176,-0.000915527,-0.000305176,-0.000610352,-0.000610352
292,-0.000915527,0,-0.000305176,-0.000915527,-0.000610352
293,-0.000610352,-0.000610352,-0.000610352,-0.000610352,-0.000610352
294,-0.000915527,-0.000915527,-0.000610352,-0.001220703,-0.000305176
295,-0.000610352,-0.000915527,-0.000610352,-0.000610352,0.000305176
296,-0.000610352,-0.001220703,-0.000610352,-0.000915527,-0.000305176
297,-0.000305176,-0.000915527,0,-0.000915527,0
298,-0.001220703,-0.000610352,-0.000610352,-0.000610352,-0.000610352
299,-0.000610352,-0.000915527,-0.000305176,-0.001525879,-0.000305176
300,-0.000915527,-0.000610352,-0.000915527,0,0
301,-0.000610352,0,0,-0.000610352,0
302,-0.001220703,-0.000915527,-0.000610352,-0.000915527,-0.000610352
303,-0.000915527,-0.000610352,-0.000610352,-0.000610352,0
304,-0.000915527,-0.000915527,-0.000610352,-0.000915527,-0.000305176
305,-0.001220703,0,0.000305176,-0.001525879,0.000305176
306,-0.001220703,-0.000915527,-0.000305176,-0.000915527,-0.000305176
307,-0.000305176,-0.001220703,-0.000305176,-0.000915527,0
308,-0.000305176,-0.000305176,-0.000610352,-0.000915527,-0.000610352
309,-0.000915527,-0.000305176,-0.000305176,-0.000915527,-0.000305176
310,-0.000305176,0,-0.000305176,-0.000915527,-0.000305176
311,-0.000305176,-0.001525879,-0.000610352,-0.000610352,0
312,-0.000610352,-0.000610352,-0.000610352,-0.000610352,-0.000915527
313,-0.000610352,0,0,-0.000915527,0
314,-0.000915527,-0.000610352,0,-0.001220703,0.000305176
315,-0.000610352,-0.001220703,-0.000305176,-0.001220703,0.000305176
316,-0.000305176,-0.000610352,-0.000610352,-0.000305176,0.000305176
317,-0.000305176,-0.000305176,0.000305176,-0.001220703,0
318,0,-0.000915527,-0.000305176,-0.000915527,0
319,0.000610352,0,0,-0.000915527,0.000610352
320,0.000610352,-0.000610352,0.000305176,-0.000305176,0
321,0,-0.000610352,0.000305176,0,0.000305176
322,0,0,0.000305176,-0.000915527,0.000305176
323,0.000610352,0.000305176,0.000305176,-0.000305176,0
324,0.001220703,0.000915527,0.000305176,0,0.000610352
325,0.001831055,0.000305176,0.000305176,0,0.000915527
326,-0.000915527,-0.000610352,-0.000305176,-0.000610352,0
327,-0.000915527,-0.001220703,-0.000915527,-0.000610352,-0.000305176
328,-0.000305176,0.000305176,0,-0.000610352,-0.000610352
329,-0.001220703,-0.000610352,-0.000305176,-0.001525879,-0.000305176
330,-0.001220703,-0.000305176,0,-0.000610352,0.000305176
331,-0.000915527,-0.000610352,-0.000305176,-0.001220703,-0.000610352
332,-0.001220703,-0.001220703,0.000305176,-0.000915527,0
333,-0.001220703,-0.000915527,-0.000305176,-0.001220703,-0.000305176
334,-0.000610352,-0.000915527,-0.000305176,-0.001220703,-0.000915527
335,-0.001525879,-0.001220703,-0.000610352,-0.000915527,-0.000915527
336,-0.001525879,-0.000915527,-0.000305176,-0.001220703,-0.001525879
337,-0.00213623,-0.000915527,-0.000915527,-0.001220703,-0.000610352
338,-0.00213623,-0.000915527,-0.000305176,-0.001220703,-0.000915527
339,-0.001831055,-0.001220703,-0.000610352,-0.001525879,-0.001220703
340,-0.00213623,-0.001220703,-0.000610352,-0.000915527,-0.001220703
341,-0.002746582,-0.001831055,-0.000915527,-0.001525879,-0.001220703
342,-0.002746582,-0.002441406,-0.001831055,-0.00213623,-0.001220703
343,-0.001220703,-0.000915527,-0.000305176,-0.001220703,-0.000305176
344,-0.000610352,0,-0.000610352,-0.001220703,-0.000305176
345,-0.000610352,-0.000610352,-0.000305176,-0.001525879,-0.000610352
346,-0.000915527,-0.000915527,0,-0.001525879,-0.000305176
347,-0.000610352,0.000305176,-0.000915527,-0.001220703,-0.000915527
348,-0.000915527,-0.000610352,0,-0.001220703,-0.000610352
349,-0.000305176,-0.000610352,-0.000610352,-0.001525879,-0.000305176
350,-0.000610352,0,0.000305176,-0.000915527,0
351,-0.000610352,-0.001220703,-0.000305176,-0.001220703,-0.000305176
352,-0.001220703,-0.000305176,-0.000610352,-0.001220703,-0.000610352
353,-0.000915527,-0.000305176,-0.000305176,-0.001220703,-0.000305176
354,-0.001220703,-0.000915527,-0.000610352,-0.000915527,-0.000305176
355,-0.000915527,-0.000610352,0,-0.000610352,-0.000305176
356,-0.000610352,-0.000610352,-0.000305176,-0.000610352,-0.000305176
357,-0.000610352,-0.000305176,-0.000305176,-0.000915527,-0.000305176
358,-0.000305176,-0.000610352,-0.000305176,-0.000915527,-0.000305176
359,-0.000305176,-0.000610352,0,-0.000915527,0.000305176
360,-0.001220703,0,0,-0.001220703,-0.000305176
361,-0.000915527,0,0.000305176,-0.000915527,-0.000305176
362,-0.000305176,-0.000915527,-0.000915527,-0.000915527,-0.000610352
363,-0.000305176,-0.000305176,0.000610352,-0.000915527,-0.000305176
364,-0.000610352,-0.000305176,0.000610352,-0.001525879,-0.000305176
365,0,-0.001220703,0.000305176,-0.001220703,-0.000305176
366,-0.000610352,0.000305176,-0.000305176,-0.000305176,0
367,0,0,-0.000305176,-0.000915527,-0.000610352
368,-0.000610352,-0.000305176,0,-0.000915527,0.000610352
369,-0.000305176,0,-0.000305176,-0.000915527,0.000305176
370,-0.000305176,-0.000305176,-0.000305176,-0.000915527,-0.000305176
371,0.000305176,0.000305176,0,-0.000610352,0.000305176
372,0,0.000305176,-0.000305176,-0.000610352,0.000305176
373,0.000610352,0,0.000610352,-0.000305176,0.000610352
374,0.000610352,0.000610352,-0.000305176,-0.000610352,0.000610352
375,0.000915527,0.000610352,0.000305176,-0.000305176,0.000305176
376,0.001220703,0.000305176,0.000610352,0,0.000610352
377,0.001525879,0.000610352,0.000915527,0,0.001220703
378,0.000305176,0.000305176,-0.000305176,0,0
379,-0.003356934,-0.001831055,-0.001525879,-0.001831055,-0.001525879
380,-0.002746582,-0.00213623,-0.000915527,-0.00213623,-0.001525879
381,-0.002441406,-0.001525879,-0.001220703,-0.00213623,-0.001220703
382,-0.002746582,-0.001831055,-0.000610352,-0.001220703,-0.000305176
383,-0.002441406,-0.001220703,-0.000610352,-0.001525879,-0.000915527
384,-0.000915527,-0.000610352,-0.000305176,-0.000915527,0
385,-0.001220703,-0.001220703,-0.000915527,-0.000915527,0.000305176
386,-0.001220703,-0.000915527,-0.000305176,-0.000610352,-0.000305176
387,-0.000915527,-0.000915527,-0.000610352,-0.000915527,-0.000610352
388,-0.000915527,-0.001220703,-0.000915527,-0.000610352,-0.000305176
389,-0.001220703,-0.001525879,-0.000305176,-0.000610352,0.000305176
390,-0.000915527,-0.000610352,0,-0.000610352,-0.000610352
391,-0.001220703,-0.000915527,-0.000305176,-0.000915527,-0.000915527
392,-0.001525879,-0.001220703,-0.000610352,-0.001220703,-0.000915527
393,-0.001831055,-0.000915527,-0.000915527,-0.000915527,-0.000305176
394,-0.001525879,-0.001220703,-0.000610352,-0.001525879,-0.000610352
395,-0.001525879,-0.001525879,-0.000610352,-0.001220703,-0.000610352
396,-0.002746582,-0.001831055,-0.001220703,-0.001220703,-0.000915527
397,-0.002441406,-0.002441406,-0.000610352,-0.001525879,-0.001220703
398,-0.003051758,-0.00213623,-0.001220703,-0.001220703,-0.000915527
399,-0.003051758,-0.002441406,-0.001525879,-0.002746582,-0.001525879
400,-0.002441406,-0.001220703,-0.000610352,-0.002441406,-0.001831055
401,-0.00213623,-0.001220703,-0.000610352,-0.000915527,-0.000915527
402,-0.000915527,-0.000915527,0,-0.000915527,-0.000305176
403,-0.001220703,-0.000915527,-0.000610352,-0.000915527,-0.000305176
404,-0.000610352,-0.000915527,-0.000305176,-0.000915527,0
405,-0.000305176,-0.000915527,-0.000305176,-0.000305176,-0.000610352
406,-0.000305176,-0.000305176,0,-0.000915527,-0.000610352
407,-0.000305176,-0.000915527,-0.000305176,0,0.000305176
408,-0.000305176,-0.000610352,0.000305176,-0.000915527,-0.000305176
